aspect,id,ActiveState,description,name
Symptomdate,SYM_105b48f1-39d9-47ad-8f39-a4a4902673a1,(empty),datecreation,Symptomdate
NBX_Services,SYM_f01f7205-13d1-4861-babc-db1dd0cd4352,(empty),(empty),NBX_Services
Ui Controls Symptom,SYM_60745d55-c4fe-4b29-9493-5d6b86d20ea7,(empty),(empty),Ui Controls Symptom
Account Number is not null,SYM_da12747a-dc5a-4e2f-85b4-62803dd11c5d,(empty),Used for Validate UI controls,Account Number is not null
CDV Porting Issue,SYM_44475c62-a7e8-4422-8ff0-c25518e23db6,(empty),(empty),CDV Porting Issue
Sensor Low Battery,SYM_e4f4e0b9-9c06-4a4e-bf21-0afe943200fb,(empty),(empty),Sensor Low Battery
Battery Low,SYM_e9983959-3793-4a0e-9bf0-d1b6149bdef5,(empty),(empty),Battery Low
Replace Battery,SYM_9f986e98-0342-42f8-878e-b1b768d8c960,(empty),(empty),Replace Battery
Low Battery,SYM_1b534efa-1ec2-405b-97f6-cba7217d02f7,(empty),(empty),Low Battery
Take Over Low Battery,SYM_ab9755ae-40f3-4dd2-91bb-6cc823a215ee,(empty),(empty),Take Over Low Battery
Zigbee Sensor Low Battery,SYM_03ebfaba-fc8f-46ad-89e9-4a32a926921c,(empty),(empty),Zigbee Sensor Low Battery
Sensor No Power,SYM_80aec388-e8cc-464b-99b6-caa8a10da812,(empty),(empty),Sensor No Power
Take Over No Power,SYM_146788fc-3280-4b35-b425-d461142bd6b5,(empty),(empty),Take Over No Power
Zigbee Sensor No Power,SYM_26f32764-858b-4284-8445-3dbe0ebf86a0,(empty),(empty),Zigbee Sensor No Power
Zigbee Sensor Fail Battery,SYM_6ec84a04-0818-4911-8b25-42af4b699165,(empty),(empty),Zigbee Sensor Fail Battery
Dashboard_Testing,SYM_3dab72f2-5620-471b-9d24-9e7a300f8ced,(empty),(empty),Dashboard_Testing
Feature In Biller And Not In Switch,SYM_b5872f05-d7aa-4805-98cf-2475b5d1d490,(empty),(empty),Feature In Biller And Not In Switch
Feature In Biller And Not In Switch with International Block,SYM_54a7dbbc-0d31-41a2-a4b1-0f8c217dc157,(empty),(empty),Feature In Biller And Not In Switch with International Block
Feature In Switch And Not In Biller,SYM_fd78245e-3739-420e-a3a5-244b5e36cc01,(empty),(empty),Feature In Switch And Not In Biller
Feature In Switch And Not In Biller with International Block,SYM_6af749e6-d2dd-429b-a7e1-d5206416791b,(empty),(empty),Feature In Switch And Not In Biller with International Block
Activate Video Error,SYM_59383965-8070-45ba-9d9b-6643ff84307b,(empty),(empty),Activate Video Error
Found Seasonal Bootfile,SYM_a58719f2-47ac-4590-8a3b-e1bc15329a41,(empty),(empty),Found Seasonal Bootfile
Testing_Defect,SYM_99899d9a-265d-4a57-86e8-375e44ec6f08,(empty),(empty),Testing_Defect
Tap_symptom,SYM_7c7a9dec-b7a9-4273-97cd-6d4f588968ef,(empty),(empty),Tap_symptom
OZ - PHT - ICFR > 7,SYM_6869a754-efb1-4d8d-ad27-845b8eb7b4be,1,(empty),OZ - PHT - ICFR > 7
OZ - PHT - DS SNR < 32,SYM_c350f7be-7de3-479e-b084-b6228419811e,1,(empty),OZ - PHT - DS SNR < 32
Context Both,SYM_f4716f79-7d6a-442d-9a9d-77c3e91739c4,(empty),(empty),Context Both
Equipment - Swap Eligible,SYM_9377796b-c17c-46cf-b72d-719ad2d17bc4,(empty),(empty),Equipment - Swap Eligible
Account - Swap Eligbile,SYM_2a5459ae-2c35-4919-b755-130383235361,(empty),(empty),Account - Swap Eligbile
WatchTower - Outage,SYM_5a007411-c696-434d-b906-2209e45aace6,(empty),"The general rule is that 4 or more devices that appear to share a common problem and the modems are offline. If the address is an MDU then 45% or more of the MDU has to be offline for it to count towards the outage. Also, 15% or more of the subs need to be offline if the sub count is greater than 40.",WatchTower - Outage
WatchTower - Power Outage,SYM_ac245d3b-04ea-4746-8c16-a91befcf8cf4,(empty),4 or more devices that appear to be part of a commercial power outage. Commercial power outages are detected by looking for devices on battery backup. Devices with battery backup will remain online until the battery is depleted. Devices without batteries will fall offline immediately if there is power interruption.,WatchTower - Power Outage
WatchTower - Fiber Cut,SYM_65015f92-de2e-4fae-be12-5902ea427255,(empty),This is a manually set event. There is no automated mechanism to create fiber cut events. I user must manually change the event type in this case.,WatchTower - Fiber Cut
WatchTower - Service Call Node Alert,SYM_655f0370-4f50-445b-94a2-b01102db3f41,(empty),"A cluster of trouble calls was found, or a percentage of the customers on a node have trouble calls. The threshold for number of calls required to create this event type is configurable in the Auto-Ticketing Scheme ? by default the number of trouble calls must be equal to or greater than 7% of the number of devices on the node (as of 51215)",WatchTower - Service Call Node Alert
WatchTower - Service Call Cluster Alert,SYM_54218fd9-26da-4887-853f-389c7539fe99,(empty),"A cluster of trouble calls was found, or a percentage of the customers on a node have trouble calls. The threshold for number of calls required to create this event type is configurable in the Auto-Ticketing Scheme ? by default the number of trouble calls must be equal to or greater than 7% of the number of devices on the node (as of 51215)",WatchTower - Service Call Cluster Alert
WatchTower - Priority Plant Fault,SYM_829a970a-92c4-40dd-8da5-b5083dc561c8,(empty),This event type is a plant fault type with at least 3 trouble calls within a 150m radius of the event.,WatchTower - Priority Plant Fault
WatchTower - LPI,SYM_e77da703-f565-4de0-978b-b7440720801c,(empty),A Priority Plant Fault Job will be created if the node analysis results in a Plant Fault condition and one of the affected Customers has an open Customer Ticket.,WatchTower - LPI
WatchTower - Moderate Plant Fault,SYM_3360dbf1-d9e9-46b4-be3a-12f0bc7286ce,(empty),"4 or more devices that share a common problem with the cable modem eMTA. That problem can be out of range upstream transmit power, upstream SNR MER, downstream SNR MER, and downstream receive power. Out of range is configurable for all metrics for any network hierarchy element.",WatchTower - Moderate Plant Fault
WatchTower - Severe Plant Fault,SYM_0b1b2f1d-9105-41df-b654-c097d4eee757,(empty),"A Severe Plant Fault will be triggered when 80% or more of the devices in the Plant Fault violate the Severe threshold values for the RF levels in question. (For example, the Upstream Return (US Rx) Severe threshold is -4dBmV and the Moderate threshold is -2dBmV.)",WatchTower - Severe Plant Fault
WatchTower - US FEC,SYM_60b78fd6-3449-4c1f-8847-64ae6c69881c,(empty),4 or more devices that share a common problem related to high FEC upstream uncorrectable rates. Uncorrectable FEC rate is (FEC uncorrectable codewords) (FEC Unerrored Codewords + FEC Corrected Codewords + FEC Uncorrectable Codewords). What is considered a high upstream range of FEC rates is configurable for all metrics for any network hierarchy element.,WatchTower - US FEC
WatchTower - DS FEC,SYM_17380913-70e2-41d0-9f58-f7e288a1f535,(empty),4 or more devices that share a common problem related to high downstream FEC uncorrectable rates. Uncorrectable FEC rate is (FEC uncorrectable codewords) (FEC Unerrored Codewords + FEC Corrected Codewords + FEC Uncorrectable Codewords). What is considered a high range of downstream FEC rates is configurable for all metrics for any network hierarchy element.,WatchTower - DS FEC
WatchTower - Wifi Outage (CM),SYM_257cc2c5-7437-4ef2-b480-f6e273bcd9ab,(empty),Soak time 36 hours.,WatchTower - Wifi Outage (CM)
WatchTower - Wifi Outage (AP),SYM_326e615f-320f-40a7-935a-c35657d8f067,(empty),Soak time 36 hours.,WatchTower - Wifi Outage (AP)
WatchTower - Flux OSP,SYM_bb4954a1-870f-423b-a6a1-2649e65c3a52,(empty),Events based on analyzing the ripples for groups of customers. These thresholds are configurable at any level in the hierarchy so contact your NWT admin for specifics. Here is the initial default settings.,WatchTower - Flux OSP
WatchTower - Experimental MDU Severe Plant Fault,SYM_a28836c0-0079-4a9a-9eb2-f04fff0062ca,(empty),(empty),WatchTower - Experimental MDU Severe Plant Fault
WatchTower - ACP (RTH),SYM_2b04a547-71e6-4b5d-ac2e-b545c1778338,(empty),"This event is based on the SpectraCM platform detecting an Adjacent Channel Power variance that exceeds predefined thresholds. As of 1192015, this event type will be visible to all users. However, there is no planned impact to PPI or PI scores from this event type. Lastly, Auto-Jobbing (or assignment of fix to these event otherwise) is intended to utilize your Division or Region's existing Refer to Headend process.",WatchTower - ACP (RTH)
WatchTower - Wave,SYM_09301d1b-ebdf-4d22-b433-a86925c8098f,(empty),(empty),WatchTower - Wave
WatchTower - Suckout Moderate,SYM_ea070a5e-7d82-48c2-9a7a-30e897e53e1a,(empty),(empty),WatchTower - Suckout Moderate
WatchTower - Suckout Severe,SYM_581acfbd-ef7f-491b-a42e-103258437981,(empty),(empty),WatchTower - Suckout Severe
All IP Capable Devices are Offline,SYM_7dcae1a0-6a87-45a1-a009-435d468006f2,(empty),(empty),All IP Capable Devices are Offline
All IP Capable Devices are Not Responding,SYM_4ddb4347-0ca5-4d61-b4c8-ca3b11eb86c3,(empty),(empty),All IP Capable Devices are Not Responding
My MAC Address,SYM_a82c496b-891f-485d-857b-9ff8134158f9,(empty),(empty),My MAC Address
EcoBill Enabled,SYM_d7894566-ae9a-4717-a8ef-ff785fdb183f,(empty),(empty),EcoBill Enabled
Account Billing Type is PAPER,SYM_3b57f545-6a41-4f40-9b98-e188096bdaa6,(empty),(empty),Account Billing Type is PAPER
Test - Last Name,SYM_8a889d84-6c44-43ff-9e6a-b0587d1ade1e,(empty),My last name,Test - Last Name
Account is not delinquent,SYM_a82aa54e-89df-4cb2-b8a1-c8ffb1ebc1e2,(empty),(empty),Account is not delinquent
Ported CDV Found,SYM_c6ddf342-04a4-49d0-9e2e-386ac7ae8217,(empty),(empty),Ported CDV Found
Dormant Property,SYM_2e44e7f9-9335-419e-bc61-fffc67eda374,(empty),(empty),Dormant Property
Process Vertically Test,SYM_5bb52c23-1bcc-4020-8b3d-4226aae61f4c,1,(empty),Process Vertically Test
Outage attribute or value missing,SYM_6624b821-7287-479e-b6ff-5412130d8a44,1,(empty),Outage attribute or value missing
Return Flag,SYM_e0ce9067-bede-4f0b-8525-7422bb59ee8b,1,(empty),Return Flag
Training - Sensor Low Batt,SYM_5e09360e-209f-416d-af13-6f263bc1d2d6,1,Training - Sensor Low Battery,Training - Sensor Low Batt
Bootfile Mismatch - No vacation,SYM_0e652fe0-2f36-40e6-b2f8-67128992f4bf,1,(empty),Bootfile Mismatch - No vacation
Service with no Equipment,SYM_14be7037-30ee-456e-b934-2b33e351af1f,1,ABT,Service with no Equipment
ABT - Service with no Equipment,SYM_73ec95c2-c8c2-4920-81b1-19ad56defcfd,1,(empty),ABT - Service with no Equipment
QATest1,SYM_c93532dd-8732-4670-b251-04002738fb96,1,(empty),QATest1
QATest2,SYM_7b7aeb0e-81ce-454c-b3d1-fd52e2040185,0,(empty),QATest2
CreateSymptomTest,SYM_8a6a3175-faf6-4df3-b764-af3f96124b82,1,(empty),CreateSymptomTest
THe customer is 10 days late,SYM_4a589513-0eb6-4908-908e-3cfc60831b6e,1,(empty),THe customer is 10 days late
High Modem Health Score,SYM_fdff4b69-3bac-4422-95d6-4592bc9d6677,1,(empty),High Modem Health Score
Current SPID is not Comcast,SYM_27350897-1e31-4244-82bb-883432ff0513,1,(empty),Current SPID is not Comcast
Bootfile Mismatch - No Walled,SYM_8317d5b6-6814-4af2-9e6c-bb5279772dda,1,(empty),Bootfile Mismatch - No Walled
Bootfile Mismatch - No CDV,SYM_4c10bde7-409d-4148-bffb-81f7ab5dd263,1,(empty),Bootfile Mismatch - No CDV
CDV Only Bootfile,SYM_63596579-4c79-463d-8dc9-da0b5a2f1d9f,1,(empty),CDV Only Bootfile
Feature In Biller And Not In Switch - has excluded products,SYM_e8016fb5-3a0d-466a-b77c-76b349472e81,1,(empty),Feature In Biller And Not In Switch - has excluded products
Feature In Biller And Not In Switch with International Block - has excluded products,SYM_e28cc187-8622-4c32-98fa-d85700c39792,1,(empty),Feature In Biller And Not In Switch with International Block - has excluded products
Door Sensor Low Battery,SYM_47ae8b02-a856-4d5a-8f5b-faa9fbf20c6e,1,(empty),Door Sensor Low Battery
Window Sensor Low Battery,SYM_503292f2-7a56-4a39-ad37-9f671c49da21,1,(empty),Window Sensor Low Battery
Motion Sensor Low Battery,SYM_dc8296d7-98c1-4f60-860d-a2ad005cc848,1,(empty),Motion Sensor Low Battery
Testing-defect,SYM_8aa828e9-a1e8-46a0-a5ad-15d44053c74b,1,(empty),Testing-defect
Symptom1 UI360,SYM_cce41860-8962-477a-911e-f5bbd5acdbc6,1,Test Symptom for UI 360,Symptom1 UI360
Symptom_test,SYM_af75c254-4705-463c-9db8-e09c6a1db61f,1,(empty),Symptom_test
OZ - PHT - US Transmit < 25,SYM_5c17216d-34e8-435a-b3bd-8aaefb310524,1,(empty),OZ - PHT - US Transmit < 25
OZ - PHT - US Transmit > 57,SYM_5e22ef6c-d910-4e28-a2b0-ceb05d3d0ebe,1,(empty),OZ - PHT - US Transmit > 57
OZ - PHT - US RX < -3.5,SYM_aa9e7f00-439f-4bfe-a3e5-cf79f73d9652,1,(empty),OZ - PHT - US RX < -3.5
OZ - PHT - CM US SNR < 27,SYM_eb337f00-606e-4a19-93b0-0f8a8bca9f77,1,(empty),OZ - PHT - CM US SNR < 27
EBI Score Out of Range,SYM_d028f0c3-f6b0-4e42-afa1-2c839bc81eb7,1,(empty),EBI Score Out of Range
OZ - PHT - DS RX < -10,SYM_44c23dd8-f614-4b0f-94d5-d5e6272431d9,1,(empty),OZ - PHT - DS RX < -10
OZ - PHT - DS RX > 12,SYM_c3214cee-89ea-4e5e-97da-827b0e2928cb,1,(empty),OZ - PHT - DS RX > 12
First and Name not Found,SYM_e781fa60-4e4d-4983-be51-f34df66e7700,1,(empty),First and Name not Found
